"Trade Time","Name","50-day MA","Market Capitalization","Dividend Pay Date","Ex-Dividend Date","P/E Ratio","Earnings Timestamp","EPS Forward","Ave. Analyst Rating","Symbol","CapCategory"
2025-04-07 16:00:00,"Artius II Acquisition Inc. Clas",NA,248729008,NA,NA,NA,NA,NA,NA,"AACB","Micro Cap"
2025-04-07 16:00:00,"Artius II Acquisition Inc. Righ",NA,NA,NA,NA,NA,NA,NA,NA,"AACBR",NA
2025-04-07 16:00:02,"Artius II Acquisition Inc.",10.06455,254267504,NA,NA,NA,NA,NA,NA,"AACBU","Micro Cap"
2025-04-07 16:00:00,"American Airlines Group, Inc.",13.8686,6385062912,2020-02-18 19:00:00,2020-02-03 19:00:00,7.830645,2025-01-23 07:00:00,2.02,"2.0 - Buy","AAL","Mid Cap"
2025-04-07 16:00:00,"Atlantic American Corporation",1.571,32235634,2025-04-22 20:00:00,2025-04-08 20:00:00,NA,2025-03-25 13:32:26,NA,NA,"AAME","Nano Cap"
2025-04-07 16:00:02,"Applied Optoelectronics, Inc.",22.2653,564305216,NA,NA,NA,2025-02-26 16:10:00,0.73,"1.8 - Buy","AAOI","Small Cap"
2025-04-07 16:00:02,"AAON, Inc.",94.6262,6060600832,2025-03-27 20:00:00,2025-03-17 20:00:00,36.896038,2025-02-27 07:00:10,2.93,"2.0 - Buy","AAON","Mid Cap"
2025-04-07 16:00:02,"Ascentage Pharma Group Internat",19.2572,1947361408,NA,NA,NA,2025-03-27 07:00:27,NA,"2.0 - Buy","AAPG","Small Cap"
2025-04-07 16:00:02,"Apple Inc.",229.0204,2725910413312,2025-02-12 19:00:00,2025-02-09 19:00:00,28.848969,2025-05-01 16:00:00,8.31,"2.1 - Buy","AAPL","Large Cap"
2025-04-07 16:00:01,"Aardvark Therapeutics, Inc.",10.938889,172265440,NA,NA,NA,2025-03-31 16:10:00,NA,"1.5 - Strong Buy","AARD","Micro Cap"
2025-04-07 16:00:02,"American Battery Technology Com",1.14074,83388128,NA,NA,NA,2025-02-14 16:25:27,-0.14,NA,"ABAT","Micro Cap"
2025-04-07 16:00:02,"AbCellera Biologics Inc.",2.7423,610875392,NA,NA,NA,2025-05-08 16:00:00,-0.66,"1.4 - Strong Buy","ABCL","Small Cap"
2025-04-07 16:00:01,"Abeona Therapeutics Inc.",5.3484,218644768,NA,NA,NA,2025-03-20 07:30:00,-1.48,"1.2 - Strong Buy","ABEO","Micro Cap"
