"Symbol","Sector","Industry","Country","MarketCap","Fundamental Strength Index","SP500 Stock","Price","bid","ask","mid_price","macro.open","macro.high","macro.low","Day.Average","Last 5min Average","Last 20min Average","Previous Day Close","% Change","Premarket Gap(%)","Health Rating","Micro Trend Rating","Macro Trend Rating","Macro Entry Rating","Intraday OB/OS","Macro OB/OS","Support","Resistance","Reward to Risk Ratio","Entry Conditions","Price zone","Buy Signal","Trend Strength","Buy Limit","Buy Signal Range","Micro Alert","Macro Alert","Forecast Range","Forecast Rating","Macro Forecast Rating","Macro Forecast Range","Macro Buy Signal Range","Volume Surge","Risk (%)","EPS","volatility_regime","vol_regime","price_rising","lROC_5","lROC_10","lROC_30","lROC_60","lROC_120","entry_ATR","safe_entry_price_mean","entry_signal","entry_reason","entry_score","Macro Buy at or below","buy_score","uptrend_score","ubw_lbw_pct","Last 5day Average","Last 20day Average","FCRSig","FVGSig","lRSI_3","lRSI_14","MacrolfastD","MacrolfastK","lfastD_slope","MacrolfastK_slope","lfastK_3","l5_STD","Macrol50_MA","l120_MA","lupper_band","llower_band","above_ubw","below_lbw","Macro.lupband","Macro.llband","micro.compositescore","macro.compositescore","lATR","MacrolATR","SignalTransition","Macro.SignalTransition","MacroRSI_3","MacroRSI_14","MacroRSIslope","MacroROC_60","MacroROC_30","MacroROC_20","MacroROC_10","MacroROC_5","MacroROC_3","MacroROC_1","MacroMomentum3","MacroMomentum5","MacroMomentum10","MacroMomentum20","Macroubwlbwpct","Macrofirstimpule","Macrol5_MA","Macrol20_MA","Macrovolatility_regime","Macrowas_near_lower","Macrolbb_width_slope","MacroVolumeSurge","UpdateTime","macro_lupper_band","macro_llower_band","Day.Low","Day.High","Goodfellas","News","Earnings","Quality Value Screener","Intrinsic Value Screener","MicroMomentumScore","MicroMomentumGrade","MicroPattern","MacroMomentumScore","MacroMomentumGrade","MacroPattern","EntryQualityScore","EntryQualityGate"
"BAT/USD","Crypto","Crypto","","Crypto","","No",0.0777175,NA,NA,NA,0.07745225,0.0775212,0.07745225,0.07,0.077,0.077,0.078,-0.36,"-","-","Uptrend","Mixed trend","Hold","-","Neutral",0.07698715,0.0775415,0.35,"Hold","Low reward High risk zone"," + Breakout Signal: above upper bollinger band limit + ","Very Strong",0.08,"0.07-0.08"," + Breakout Signal: above upper bollinger band limit + ",NA,"0.08-0.08","Neutral","Neutral","0-0.15","0.03-0.1","False",6.84,NA,"medium","quiet",TRUE,0.708167575902854,0.371303112488694,1.26718352987165,0.638724234939155,0.119162640901765,0.0768729528454053,0.0759271056410752,TRUE,"Breakout",9,0.06,0,8,0.821805552117237,0.075,0.072,NA,FALSE,84.6160978174593,64.4250127549958,94.9738415545587,139.461883408071,8.81609957648755,71.4125560538112,234.59033253342,0.0001334720944697,0.077186036,0.0771747295833333,0.0776513558020158,0.0770184141979842,FALSE,FALSE,0.0786347941528606,0.0645587708471394,9.73777849376079,6.70494717439272,0.000115280502813955,0.0043244336208612,TRUE,FALSE,76.9826442283865,62.0650019322612,0,-2.53208960572125,32.6044081046176,16.3422979949574,9.21770787251368,3.91477297480254,8.26423774190439,0,8.26423774190439,3.91477297480254,9.21770787251368,16.3422979949574,21.8034251907462,FALSE,0.07748665,0.077334885,"medium",FALSE,2.56996659022272,FALSE,"2026-09-13 03:30:00",0.0786347941528606,0.0645587708471394,0.08,0.08,"","","","","",79,"A","TREND_CONFIRMED",50,"C","NONE",65,"AVOID"
"FIL/USD","Crypto","Crypto","","Crypto","","No",0.8144,NA,NA,NA,0.813277,0.813277,0.81285,0.81,0.814,0.814,0.813,0.17,"-","-","Uptrend","Mixed trend","Hold","-","Neutral",0.81236,0.814718,0.74,"Moderate","Low reward High risk zone"," + Breakout Signal: above upper bollinger band limit + ","Very Strong",0.81,"0.78-0.81"," + Breakout Signal: above upper bollinger band limit + ",NA,"0.81-0.82","Neutral","Neutral","0.41-1.21","0.43-0.72","False",5.7,NA,"low","normal",FALSE,0.134943640281442,0.071268830945421,0.141407931140484,-0.12012811212448,-0.421898623281397,0.811708779297949,0.808080357338611,TRUE,"MomentumPullback",8,0.63,0,8,0.319438000782498,0.807,0.779,NA,TRUE,76.8451278304577,56.0496512251082,60.7223635849586,86.5139949109402,11.9525438872303,20.122985581002,130.309805174069,0.000662150889207982,0.81330913,0.8146144625,0.815034770295627,0.812439529704373,FALSE,FALSE,0.881883104002424,0.652903995997576,6.37660649920094,5.07096165367466,0.000652856048735118,0.048370144647628,FALSE,FALSE,63.8792994967059,57.9725616515778,0,5.65920503098218,20.3353133847776,14.1434850378442,6.96049166166088,-0.867115469047278,3.49701102007295,0,3.49701102007296,-0.867115469047275,6.96049166166088,14.1434850378442,35.0708694399992,FALSE,0.8135289,0.81373715,"high",FALSE,0.553887762210739,FALSE,"2026-09-13 03:31:00",0.881883104002424,0.652903995997576,0.81,0.81,"","","","","",50,"C","NONE",51,"C","NONE",70,"AVOID"
"BONK/USD","Crypto","Crypto","","Crypto","","No",2.81075e-06,NA,NA,NA,2.81e-06,2.81e-06,2.81e-06,0,0,0,0,Inf,"-","-","Uptrend","Mixed trend","Hold","-","Neutral",2.81e-06,2.81e-06,5.52,"Moderate","Excellent reward to risk ratio zone"," + Breakout Signal: above upper bollinger band limit + ","Very Strong",0,"0-0"," + Breakout Signal: above upper bollinger band limit + ",NA,"0-0","Neutral","Higher","0-0","0-0","False",6.95,NA,"low","quiet",FALSE,0.026690391459073,0.026690391459073,0.743727598566315,-0.150976909413854,1.10611510791367,2.80898522571269e-06,-0.000672199265673886,TRUE,"Breakout",6,0,0,8,0.0238751433346738,0,0,NA,TRUE,99.9766763183586,64.2122801727345,NA,Inf,0,NA,Inf,3.35410199114934e-10,2.804515e-06,2.79958958333333e-06,2.81037291020061e-06,2.80970208979939e-06,FALSE,FALSE,3.3684710924545e-06,2.59652890754549e-06,NA,3.06580337198322,1.01504513454044e-09,2.87885904116356e-07,FALSE,FALSE,46.1008937704372,46.3016188958689,0,-18.3139534883721,20.3426124197002,-6.02006688963211,-12.1875,-2.09059233449477,2.55474452554745,0,2.55474452554745,-2.09059233449477,-12.1875,-6.0200668896321,29.7297743408807,FALSE,2.81015e-06,2.8100375e-06,"medium",TRUE,0.837030687420782,FALSE,"2026-09-13 03:31:00",3.3684710924545e-06,2.59652890754549e-06,0,0,"","","","","",50,"C","NONE",18,"D","NONE",60,"AVOID"
"PAXG/USD","Crypto","Crypto","","Crypto","","No",4356.815,NA,NA,NA,4381.022,4381.022,4353.812,4358.48,4355.988,4356.156,4353.812,0.07,"-","-","Uptrend","Mixed trend","Hold","-","Neutral",4329,4384.8,4.65,"Moderate","Excellent reward to risk ratio zone"," + Breakout Signal: above upper bollinger band limit + ","Very Strong",4317.28,"3134.12-4353.76"," + Breakout Signal: above upper bollinger band limit + ",NA,"4330.4-4382.56","Neutral","Neutral","3666.81-5040.82","3534.87-4296.4","False",2.18,NA,"medium","normal",FALSE,0.0130272671605575,0.000252478651792048,0.0251393569834667,0.0174469789752475,0.0726976215359727,4305.12559879227,4179.48150543368,TRUE,"MomentumPullback",7,4141.39,3,9,0.113854746529143,4357.721,4398.72,NA,TRUE,71.5997511538257,52.7823816125115,49.6425030978936,51.7007434944246,0.0921186986242025,2.61524163568801,51.7255426875413,0.922854972306928,4355.91441,4355.22732916667,4359.00196826808,4354.04468173192,TRUE,FALSE,4578.78906802736,4265.06368197264,5.45775476161991,4.48845587548442,24.027800715608,121.23996603616,FALSE,FALSE,42.9706100173765,45.2820525501488,0,9.38179033615124,-0.473991935622127,-6.31191045665771,-1.76662994225551,-0.900966109352802,-0.0226761300950866,0,-0.0226761300950895,-0.900966109352797,-1.7666299422555,-6.31191045665771,7.35570226959948,FALSE,4355.8481,4356.523325,"medium",FALSE,-2.45528984816812,FALSE,"2026-09-13 03:32:00",4578.78906802736,4265.06368197264,4353.81,4381.02,"","","","","",72,"A","TREND_CONFIRMED",23,"D","NONE",75,"PASS"
"CRV/USD","Crypto","Crypto","","Crypto","","No",0.3388775,NA,NA,NA,0.3367145,0.336885,0.336354,0.34,0.338,0.338,0.337,0.56,"-","-","Uptrend","Mixed trend","Hold","-","Neutral",0.336354,0.3388395,1.14,"Good","Moderate reward to risk ratio zone"," + Breakout Signal: above upper bollinger band limit + ","Very Strong",0.34,"0.32-0.34"," + Breakout Signal: above upper bollinger band limit + ",NA,"0.33-0.34","Neutral","Neutral","0.24-0.59","0.19-0.29","False",6.5,NA,"medium","normal",TRUE,0.451305005113319,0.356408844033026,0.886124185399879,0.306207321152147,-0.060751997664271,0.335979352608545,0.334181346362438,TRUE,"MomentumPullback",10,0.26,0,8,0.570199486861804,0.34,0.336,NA,FALSE,77.8724342676653,60.2773117415644,50.1645761034645,135.054856837039,10.6678615821991,135.054856837039,182.862318840586,0.000713060884508998,0.33760754,0.338221041666667,0.338858457214704,0.336937242785296,FALSE,TRUE,0.393941527834294,0.292462122165706,10,3.02980306104679,0.000377458188093228,0.0234504420116016,TRUE,FALSE,31.4136904618176,53.5621412403986,0,53.1308262471011,39.3060140484996,7.13501716387282,-4.27663838314929,-5.34734782847,0.372578241430692,0,0.372578241430688,-5.34734782847,-4.27663838314929,7.13501716387281,34.6983072259493,FALSE,0.3377328,0.33789785,"medium",FALSE,-1.09541036351958,FALSE,"2026-09-13 03:37:00",0.393941527834294,0.292462122165706,0.34,0.34,"","","","","",79,"A","TREND_CONFIRMED",44,"C","NONE",50,"AVOID"
"YFI/USD","Crypto","Crypto","","Crypto","","No",2229.56333333333,NA,NA,NA,2208.6,2210.08,2208.6,2199.15,2215.993,2210.872,2210.08,0.88,"-","-","Uptrend","Mixed trend","Hold","-","Neutral",2202.548,2212.03,3.44,"Moderate","Excellent reward to risk ratio zone"," + Breakout Signal: above upper bollinger band limit + ","Very Strong",2200.58,"2104.34-2200.58"," + Breakout Signal: above upper bollinger band limit + ",NA,"2208.16-2250.97","Neutral","Neutral","999.2-2845.58","1509.67-2497.19","False",4.66,NA,"high","normal",TRUE,0.792635422364674,0.985747501283328,0.643855610225853,0.475361064856868,0.848986080717319,2200.58383246889,2192.29401469258,FALSE,"",9,1982.51,0,8,1.00889403017003,2205.313,2217.028,NA,FALSE,92.056275272043,73.8750846719608,136.3612927418,284.911762637972,16.9354019702038,205.055192294165,388.198819140804,9.22371747667393,2212.37130666667,2214.07445277778,2219.92521214541,2197.75222118792,FALSE,FALSE,2370.51776703375,2128.85583296625,10,3.30743062304566,1.98825901087902,106.33051000618,TRUE,FALSE,55.4790144221788,50.3576745425661,0,3.11474576136752,13.6254910847063,-2.04371085768486,-2.80167333396665,0.648269800464064,1.26041747563252,0,1.26041747563252,0.648269800464063,-2.80167333396665,-2.04371085768487,11.3517284883859,FALSE,2213.27686666667,2208.83871666667,"low",TRUE,-0.186318559349928,FALSE,"2026-09-13 03:38:00",2370.51776703375,2128.85583296625,2208.6,2210.08,"","","","","",66,"B","TREND_CONFIRMED",40,"C","NONE",35,"AVOID"
"HYPE/USD","Crypto","Crypto","","Crypto","","No",78.965175,NA,NA,NA,78.8615,78.925,78.8615,79.8,78.911,78.893,78.925,0.05,"-","-","Mixed trend","Mixed trend","Hold","-","Neutral",78.678,78.945,0.99,"Good","Moderate reward to risk ratio zone"," + Breakout Signal + ","Very Strong",78.59,"76.02-79.66"," + Breakout Signal + ",NA,"78.37-79.55","Neutral","Neutral","51.77-106.08","38.83-73.95","False",5.97,NA,"medium","normal",FALSE,0.0508393722905507,0.315211253470502,-0.169691552654003,-0.262494789890493,-0.615855615478033,78.6247993289913,78.4051904596764,TRUE,"MomentumPullback",9,70.73,1,7,0.407503935596389,79.84,80.014,NA,FALSE,81.2058601465167,53.9924917417163,90.2528089887659,107.556179775284,2.25239284228048,24.9719101123613,133.947028423772,0.0424934494980083,79.0853915,79.163136875,78.9926721617969,78.6720803382031,FALSE,FALSE,88.483337353469,77.018547646531,7.74117102309055,1.86584227757344,0.0533948536607648,4.3098151782986,FALSE,TRUE,22.6921382538913,51.0130449721363,0,30.0118604421309,38.8058389025677,-0.943251182437002,-6.54570794068421,-5.57290358087171,-0.64766268669868,0,-0.64766268669868,-5.57290358087171,-6.54570794068421,-0.943251182436999,14.8857516238224,FALSE,78.902945,78.83237625,"low",FALSE,0.698232171934722,FALSE,"2026-09-13 03:27:00",88.483337353469,77.018547646531,78.86,78.92,"","","","","",41,"C","EARLY_REVERSAL",40,"C","NONE",70,"AVOID"
"ONDO/USD","Crypto","Crypto","","Crypto","","No",0.346056666666667,NA,NA,NA,0.345937,0.345937,0.345937,0.35,0.346,0.346,0.346,0.02,"-","-","Mixed trend","Mixed trend","Hold","-","Neutral",0.3450365,0.3464145,19.13,"Good","Excellent reward to risk ratio zone"," + ","Very Strong",0.34,"0.33-0.35"," + ",NA,"0.34-0.35","Neutral","Neutral","0.18-0.52","0.2-0.32","False",5.62,NA,"medium","normal",FALSE,-0.103296291966224,0.0581649465359657,-0.257481865782765,-0.293404403467073,-0.620969370807831,0.344817629129249,0.343699216713263,FALSE,"",4,0.3,6,-1,0.446553384135763,0.35,0.357,NA,TRUE,34.2420923313007,47.4283324484679,75.9051446096014,69.1522988505744,-4.47574037928599,-8.02476936422981,54.1478129713439,8.99597441523631e-05,0.346594633333333,0.347152793055556,0.346634045615294,0.345093021051373,FALSE,FALSE,0.387849016034602,0.329201983965398,4.51495501369461,1.79275746214096,0.000219518004508155,0.0204113457896201,FALSE,FALSE,28.3068748835989,45.1337510479739,0,-4.78933556449427,7.01294442820397,-4.93062931720341,-3.24793735141938,-3.82824934147885,-1.31311690534604,0,-1.31311690534605,-3.82824934147885,-3.24793735141938,-4.93062931720341,17.814908453094,FALSE,0.346140533333333,0.345863533333333,"medium",FALSE,-0.54331616402937,FALSE,"2026-09-13 03:28:00",0.387849016034602,0.329201983965398,0.35,0.35,"","","","","",21,"D","NONE",20,"D","NONE",85,"PASS"
"ADA/USD","Crypto","Crypto","","Crypto","","No",0.207592666666667,NA,NA,NA,0.20789,0.20789,0.2075,0.21,0.208,0.207,0.208,-0.2,"-","-","Mixed trend","Mixed trend","Hold","-","Neutral",0.2066745,0.20789,2.71,"Moderate","Good reward to risk ratio zone"," + ","Very Strong",0.21,"0.2-0.21"," + ",NA,"0.21-0.21","Neutral","Neutral","0.11-0.3","0.12-0.18","False",5.09,NA,"medium","normal",FALSE,0.110514466946517,0.308118512075885,-0.0239995826159674,0.10979030533921,-0.058894799765719,0.206506543824161,0.20550073571972,TRUE,"Breakout",9,0.17,3,-1,0.527912642950429,0.208,0.208,NA,TRUE,70.0864181555297,54.820755287602,85.8909759697994,73.2373237323723,-1.8781492530049,-17.6627259941324,29.1219705999162,5.36563654949004e-05,0.207706353333333,0.207445355555556,0.207792233776202,0.206701032890464,TRUE,FALSE,0.226417775505529,0.191379624494471,6.50740089997941,4.54255013004364,0.000168702333502529,0.0117395676608002,FALSE,FALSE,37.8654138214103,51.222820418325,0,29.1354459684847,17.7629021319342,-0.794362251179118,-1.78444644294032,-2.05333962709465,0.604841153440557,0,0.60484115344055,-2.05333962709465,-1.78444644294032,-0.794362251179115,18.3081929978759,FALSE,0.207573033333333,0.207246633333333,"medium",FALSE,-2.08763419284735,FALSE,"2026-09-13 03:29:00",0.226417775505529,0.191379624494471,0.21,0.21,"","","","","",42,"C","NONE",40,"C","NONE",75,"PASS"
"WIF/USD","Crypto","Crypto","","Crypto","","No",0.19005,NA,NA,NA,0.190044,0.190044,0.190044,0.19,0.19,0.19,0.19,0.03,"-","-","Mixed trend","Mixed trend","Hold","-","Neutral",0.189365,0.1901135,1.86,"Good","Good reward to risk ratio zone"," + Breakout Signal: above upper bollinger band limit + ","Very Strong",0.19,"0.18-0.19"," + Breakout Signal: above upper bollinger band limit + ",NA,"0.19-0.19","Neutral","Neutral","0.11-0.27","0.1-0.17","False",5.9,NA,"low","normal",FALSE,0.0078932828163166,0.180541096161193,0.632760583516455,-0.312098402790533,0.645017793594304,0.189231606214968,0.188229385373942,TRUE,"RSER",7,0.16,1,7,0.424377777782206,0.193,0.195,NA,TRUE,59.4371261925088,60.5642887957914,91.4329538427006,87.2104733131931,3.56697330639265,-12.7895266868069,80.156250000001,0.000108200392783092,0.18950867,0.189632029166667,0.190180511609199,0.189376838390801,FALSE,FALSE,0.223434761219404,0.181531438780595,6.77328922044918,2.04481480867007,0.000133876317404892,0.0142423969523243,FALSE,FALSE,17.45833474365,48.9727696189529,0,25.7395412230963,39.635562086701,-2.74950490489569,-6.68221602975657,-7.17788414574583,-0.931032685190017,0,-0.931032685190014,-7.17788414574583,-6.68221602975657,-2.74950490489569,23.0832315990481,FALSE,0.1899908,0.189778675,"medium",FALSE,2.41267772944623,FALSE,"2026-09-13 03:30:00",0.223434761219404,0.181531438780595,0.19,0.19,"","","","","",50,"C","NONE",30,"D","NONE",75,"PASS"
