#,Company,Symbol,Weight,      Price,Chg,% Chg
1,Nvidia,NVDA,6.23%,  141.86,7.05,-5.23%
2,Microsoft,MSFT,6.18%,  461.50,4.14,-0.90%
3,Apple Inc.,AAPL,5.50%,  204.34,3.92,-1.95%
4,Amazon,AMZN,3.99%,  208.56,3.84,-1.87%
5,Alphabet Inc. (Class C),GOOG,3.83%,  175.16,1.78,-1.03%
6,Alphabet Inc. (Class A),GOOGL,3.81%,  174.12,1.76,-1.02%
7,Meta Platforms,META,2.95%,  651.13,7.55,-1.17%
8,"Tesla, Inc.",TSLA,2.12%,  365.88,8.98,-2.52%
9,Broadcom,AVGO,2.08%,  245.86,6.43,-2.69%
10,Berkshire Hathaway,BRK-B,1.96%,  504.20,1.09,-0.22%
11,Walmart,WMT,1.41%,  97.63,0.39,-0.40%
12,Jpmorgan Chase,JPM,1.32%,  264.40,0.91,-0.35%
13,Visa Inc.,V,1.24%,  360.35,0.62,-0.17%
14,Lilly (Eli),LLY,1.17%,  722.50,3.11,-0.43%
15,Mastercard,MA,0.94%,  575.93,0,0.00%
16,Netflix,NFLX,0.93%,"  1,207.00",-1.55,(-0.13%)
17,Oracle Corporation,ORCL,0.84%,  165.79,1.94,-1.18%
18,Costco,COST,0.81%,"  1,017.35",4.21,-0.42%
19,Exxonmobil,XOM,0.79%,  102.14,0.03,-0.03%
20,Procter & Gamble,PG,0.70%,  166.48,-0.89,(-0.53%)
21,Home Depot,HD,0.66%,  369.38,1.31,-0.36%
22,Johnson & Johnson,JNJ,0.66%,  151.85,-0.58,(-0.38%)
23,Bank of America,BAC,0.60%,  44.18,0.12,-0.26%
24,Abbvie,ABBV,0.58%,  183.50,0.41,-0.22%
25,Coca-Cola Company,KO,0.55%,  71.16,0.01,-0.02%
26,Palantir Technologies,PLTR,0.53%,  125.71,1.95,-1.57%
27,Philip Morris International,PM,0.50%,  177.70,-1.09,(-0.61%)
28,T-Mobile Us,TMUS,0.49%,  240.78,-0.73,(-0.30%)
29,Unitedhealth Group,UNH,0.49%,  299.50,1.39,-0.47%
30,Ge Aerospace,GE,0.47%,  245.21,1.54,-0.63%
31,Salesforce,CRM,0.47%,  270.93,-5.1,(-1.85%)
32,Cisco,CSCO,0.45%,  63.51,0.17,-0.27%
33,Ibm,IBM,0.44%,  261.00,0.76,-0.29%
34,Wells Fargo,WFC,0.43%,  74.10,0.36,-0.50%
35,Chevron Corporation,CVX,0.43%,  136.29,0.27,-0.20%
36,Abbott Laboratories,ABT,0.41%,  132.25,0.22,-0.17%
37,Mcdonald's,MCD,0.40%,  312.05,-0.79,(-0.25%)
38,Linde Plc,LIN,0.39%,  462.28,-0.24,(-0.05%)
39,Servicenow,NOW,0.38%,"  1,028.07",6.77,-0.66%
40,Intuit,INTU,0.38%,  753.00,-1.45,(-0.19%)
41,American Express,AXP,0.37%,  295.50,2.14,-0.73%
42,Morgan Stanley,MS,0.37%,  128.04,0.53,-0.42%
43,Walt Disney Company,DIS,0.36%,  111.81,0.29,-0.26%
44,Intuitive Surgical,ISRG,0.36%,  555.56,3.15,-0.57%
45,Accenture,ACN,0.36%,  317.75,1.75,-0.56%
46,At&t,T,0.36%,  27.43,-0.07,(-0.24%)
47,Merck & Co.,MRK,0.34%,  75.69,-0.48,(-0.64%)
48,Goldman Sachs,GS,0.34%,  610.93,2.49,-0.41%
49,Advanced Micro Devices,AMD,0.34%,  115.42,2.56,-2.27%
50,Uber,UBER,0.33%,  88.02,-0.25,(-0.28%)
51,Verizon,VZ,0.33%,  43.08,-0.05,(-0.11%)
52,Booking Holdings,BKNG,0.32%,"  5,508.50",33.24,-0.61%
53,Pepsico,PEP,0.32%,  130.70,0.03,-0.03%
54,Rtx Corporation,RTX,0.32%,  133.50,0.65,-0.49%
55,Adobe Inc.,ADBE,0.32%,  414.62,2.39,-0.58%
56,Texas Instruments,TXN,0.30%,  185.81,1.66,-0.90%
57,Caterpillar Inc.,CAT,0.30%,  351.68,2.19,-0.63%
58,Qualcomm,QCOM,0.30%,  150.04,2.44,-1.66%
59,Progressive Corporation,PGR,0.29%,  275.70,-1.33,(-0.48%)
60,Charles Schwab Corporation,SCHW,0.29%,  88.33,0.28,-0.32%
61,S&p Global,SPGI,0.28%,  514.24,2.76,-0.54%
62,Boston Scientific,BSX,0.28%,  104.25,-0.26,(-0.25%)
63,Thermo Fisher Scientific,TMO,0.27%,  403.83,1.7,-0.42%
64,Boeing,BA,0.27%,  201.77,0.26,-0.13%
65,Blackrock,BLK,0.27%,  978.50,7.22,-0.74%
66,Amgen,AMGN,0.27%,  277.22,-1.18,(-0.42%)
67,Honeywell,HON,0.26%,  224.64,0.03,-0.01%
68,Stryker Corporation,SYK,0.26%,  377.75,-2.64,(-0.69%)
69,Tjx Companies,TJX,0.25%,  126.65,0.43,-0.34%
70,Citigroup,C,0.25%,  75.39,0.36,-0.47%
71,Nextera Energy,NEE,0.25%,  67.41,0.2,-0.30%
72,Deere & Company,DE,0.25%,  507.97,-0.02,(-0.00%)
73,Danaher Corporation,DHR,0.24%,  189.99,0.98,-0.52%
74,Ge Vernova,GEV,0.24%,  491.71,6.7,-1.38%
